Timestamp,CAM OPERATOR BADGE#,SCAN CASE NUMBER,DEFECT CATEGORY,DEFECT DESCRIPTION,LOCATION WHEN DAMAGED WAS NOTICED
3/2/2020 6:52:14,TSCHAFFER,SARA101520007444,LOST / MISSING,MISSING DURING MATCHING,IN CAM
3/2/2020 10:00:53,ABEVELL,ROLO101520006852,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/2/2020 10:39:19,ABEVELL,ROLO101520007525,BROKEN / CHIPPED / CRACKED,BROKEN,POST CAM
3/2/2020 11:08:36,ABEVELL,ROLO101520007525,BROKEN / CHIPPED / CRACKED,BROKEN,POST CAM
3/2/2020 11:51:18,ABEVELL,ROLO101520007847,MILLING / NESTING ERROR,CHIPPED IN MILL,IN CAM
3/2/2020 12:26:52,ABEVELL,ROLO101520007170,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE,POST CAM
3/2/2020 12:48:10,ABEVELL,ROLO101520007170,"FIT -- tight, loose, rocks, etc., etc., ...",TIGHT,POST CAM
3/2/2020 15:32:18,DLOPEZ,ROLO101520007522,Redesign / Design related,N/A,POST CAM
3/2/2020 16:49:58,DLOPEZ,ROLO101520006729,Redesign / Design related,REDESIGN THICKER,POST CAM
3/2/2020 16:50:22,DLOPEZ,ROLO101520007726,Redesign / Design related,OCCLUSAL TOO HIGH,POST CAM
3/2/2020 17:07:53,DLOPEZ,ROLO101520007272,CONTOUR / OCCLUSION,N/A,POST CAM
3/2/2020 18:08:25,dlopez,SARA101520006621,CONTOUR / OCCLUSION,n/a,POST CAM
3/2/2020 19:16:49,DLOPEZ,ROLO101520007548,Redesign / Design related,CONTOUR,POST CAM
3/2/2020 19:17:44,dlopez,SARA101520007900,MILLING / NESTING ERROR,broke in mill,IN CAM
3/3/2020 7:47:46,ABEVELL,EMI101520007279,"FIT -- tight, loose, rocks, etc., etc., ...",POOR,POST CAM
3/3/2020 7:48:28,ABEVELL,EMI101520007276,OTHER,MISPRESSED,POST CAM
3/3/2020 8:02:12,TSCHAFFER,ROLO101520006632,BROKEN / CHIPPED / CRACKED,BROKEN AT GREENSTATE,IN CAM
3/3/2020 9:06:29,ABEVELL,SARA101520007870,MILLING / NESTING ERROR,MILLING NOT FINISHING,IN CAM
3/3/2020 9:45:38,ABEVELL,SARA101520007978,MILLING / NESTING ERROR,BROKE DURING MILLING,IN CAM
3/3/2020 10:44:29,TSCHAFFER,ROLO101520007579,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/3/2020 11:06:59,ABEVELL,ROLO101520007493,MARGIN ISSUE,BAD,POST CAM
3/3/2020 11:31:12,ABEVELL,ROLO101520004083,CONTOUR / OCCLUSION,OCCLUSAL TOO HIGH AT BUCCAL CUSP,POST CAM
3/3/2020 13:01:08,ABEVELL,SARA101520007599,"FIT -- tight, loose, rocks, etc., etc., ...",POOR,POST CAM
3/3/2020 13:04:24,TSCHAFFER,ROLO101520007480,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE FIT,POST CAM
3/3/2020 13:08:41,TSCHAFFER,ROLO101520007819,"FIT -- tight, loose, rocks, etc., etc., ...",POOR FIT,POST CAM
3/3/2020 13:14:53,ABEVELL,ROLO101520007857,"FIT -- tight, loose, rocks, etc., etc., ...",POOR,POST CAM
3/3/2020 13:55:12,DROMIE,ROLO101520007366,OTHER,ABUTMENT ISSUE - SCREW STUCK,POST CAM
3/3/2020 14:26:53,DROMIE,ROLO101520007831,Redesign / Design related,OCCLUSION TOO THIN,POST CAM
3/3/2020 14:46:15,DROMIE,EMI101520007758,OTHER,MISSPRESS,POST CAM
3/3/2020 14:48:12,DROMIE,ROLO101520006349,Redesign / Design related,REDESIGN WITH SCREW HOLE,POST CAM
3/3/2020 16:13:39,DROMIE,SARA101520007956,MILLING / NESTING ERROR,#2 WASN'T MILLED,IN CAM
3/3/2020 17:06:16,DROMIE,SARA101520007990,BROKEN / CHIPPED / CRACKED,#29 CRACKED AT GREENSTATE,IN CAM
3/3/2020 17:20:32,DROMIE,ROLO101520007902,BROKEN / CHIPPED / CRACKED,CRACKED IN GREENSTATE,IN CAM
3/3/2020 17:55:37,DROMIE,SARA101520006962,"FIT -- tight, loose, rocks, etc., etc., ...",TIGHT,IN CAM
3/3/2020 18:34:39,DROMIE,ROLO101520006962,MILLING / NESTING ERROR,AGGRESSIVE NESTING,IN CAM
3/3/2020 18:49:24,DROMIE,SARA101520007771,MARGIN ISSUE,ADJUSTED TO SHORT AT FINISHING,POST CAM
3/3/2020 19:18:49,DROMIE,SARA101520004876,Redesign / Design related,REDESIGN,POST CAM
3/4/2020 12:23:41,ABEVELL,ROLO101520006349,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/4/2020 13:38:06,ABEVELL,ROLO101520005833,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE,POST CAM
3/4/2020 13:43:29,ABEVELL,SARA101520007791,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE,POST CAM
3/4/2020 15:04:58,DROMIE,ROLO101520005876,MILLING / NESTING ERROR,"BROKE IN HALF, NOT A GOOD ENOUGH SPRUE PLACEMENT.",IN CAM
3/4/2020 17:32:46,DROMIE,SARA101520008089,BROKEN / CHIPPED / CRACKED,SHATTERED AT GREENSTATE,IN CAM
3/4/2020 17:33:12,DROMIE,SARA101520008154,BROKEN / CHIPPED / CRACKED,CHIPPED AT GREENSTATE,IN CAM
3/4/2020 20:44:53,DROMIE,SARA101520008102,BROKEN / CHIPPED / CRACKED,SHATTERED AT GREENSTATE,IN CAM
3/5/2020 5:50:01,DLOPEZ,SARA101520005876,LOST / MISSING,NOT MATCHED,IN CAM
3/5/2020 7:18:08,ABEVELL,ROLO101520008154,BROKEN / CHIPPED / CRACKED,MARGIN ISSUES,POST CAM
3/5/2020 8:13:04,ABEVELL,ROLO101520008255,MILLING / NESTING ERROR,7&8,IN CAM
3/5/2020 8:46:35,TSCHAFFER,ROLO101520007819,"FIT -- tight, loose, rocks, etc., etc., ...",POOR FIT,POST CAM
3/5/2020 10:56:30,TSCHAFFER,ROLO101520007368,BROKEN / CHIPPED / CRACKED,BROKEN IN GREENSTATE,IN CAM
3/5/2020 11:03:00,abevell,SARA101520008157,"FIT -- tight, loose, rocks, etc., etc., ...",poor,POST CAM
3/5/2020 11:20:58,TSCHAFFER,SARA101520008275,MARGIN ISSUE,CHIPPED MARGIN,POST CAM
3/5/2020 12:25:44,ABEVELL,SARA101520008609,MILLING / NESTING ERROR,DIDNT FINISHING MILLING CAVITY,IN CAM
3/5/2020 14:04:24,DROMIE,ROLO101520008157,SHADE / MATERIAL INCORRECT or CHANGED,MILLED TOO LIGHT (A1),IN CAM
3/5/2020 14:14:03,DROMIE,SARA101520008275,SHADE / MATERIAL INCORRECT or CHANGED,MILLED IN A1(SUPPOSED TO BE B1),IN CAM
3/5/2020 15:38:02,DROMIE,SARA101520008430,BROKEN / CHIPPED / CRACKED,SPRUE SHATTERED AT GREENSTATE,IN CAM
3/5/2020 16:27:31,DROMIE,SARA101520008275,BROKEN / CHIPPED / CRACKED,CHIPPED AT GREENSTATE,IN CAM
3/5/2020 17:08:16,DROMIE,ROLO101520008498,BROKEN / CHIPPED / CRACKED,CHIPPED IN GREENSTATE,IN CAM
3/5/2020 17:09:01,DROMIE,ROLO101520008151,BROKEN / CHIPPED / CRACKED,CHIPPED MARGIN OUT OF OVEN #18,IN CAM
3/5/2020 17:09:39,DROMIE,ROLO101520008262,"FIT -- tight, loose, rocks, etc., etc., ...",TIGHT,IN CAM
3/5/2020 17:19:25,DROMIE,ROLO101520008079,BROKEN / CHIPPED / CRACKED,CHIPPED,IN CAM
3/5/2020 17:20:30,DROMIE,ROLO101520008240ROLO101520008206ROLO101520008160,SHADE / MATERIAL INCORRECT or CHANGED,OPAQUE,POST CAM
3/5/2020 17:31:32,DROMIE,ROLO101520008234,OTHER,CROWNS ROTATION IS INCORRECT,IN CAM
3/5/2020 19:16:48,DROMIE,SARA101520008316,BROKEN / CHIPPED / CRACKED,CRACKED OUT OF OVEN,IN CAM
3/5/2020 19:56:47,DROMIE,SARA101520007579,"FIT -- tight, loose, rocks, etc., etc., ...",POOR FIT,POST CAM
3/5/2020 20:02:06,DROMIE,SARA101520006047,MILLING / NESTING ERROR,DIDN'T FINISH PART OF BRIDGE,IN CAM
3/6/2020 5:52:07,ABEVELL,ROLO101520008760,MILLING / NESTING ERROR,CROWN FELL,IN CAM
3/6/2020 7:04:41,ABEVELL,SARA101520007947,MILLING / NESTING ERROR,MILLED AS COPING DIDNT MILL HOLE,IN CAM
3/6/2020 14:46:12,DROMIE,SARA101520007661,Redesign / Design related,TINY MOLAR,POST CAM
3/6/2020 14:54:12,DROMIE,ROLO101520008262,"FIT -- tight, loose, rocks, etc., etc., ...",FIT,POST CAM
3/6/2020 15:24:05,dlopez,ROLO101520008262,"FIT -- tight, loose, rocks, etc., etc., ...",n/a,POST CAM
3/6/2020 16:45:48,DROMIE,ROLO101520007537,BROKEN / CHIPPED / CRACKED,SHATTERED AT GREENSTATE,IN CAM
3/6/2020 18:34:17,DROMIE,SARA101520008303,Redesign / Design related,CONTOUR,POST CAM
3/6/2020 19:39:42,DROMIE,SARA101520008363,CONTOUR / OCCLUSION,GREENSTATED TOO THIN,POST CAM
3/6/2020 19:40:25,DROMIE,SARA101520008410,CONTOUR / OCCLUSION,GREENSTATED TOO THIN,POST CAM
3/6/2020 19:40:46,DROMIE,SARA101520008379,CONTOUR / OCCLUSION,GREENSTATED TOO THIN,POST CAM
3/6/2020 20:08:20,DROMIE,ROLO101520008503,LOST / MISSING,NOT IN GREENSTATE BATCH,IN CAM
3/7/2020 9:48:29,JSMOLEN,SARA101520007368,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/9/2020 7:25:23,ABEVELL,SARA101520008421,LOST / MISSING,MISSING AT MATCHING,IN CAM
3/9/2020 11:24:47,ABEVELL,SARA101520007709,"FIT -- tight, loose, rocks, etc., etc., ...",REDESIGNED,POST CAM
3/9/2020 12:30:33,ABEVELL,ROLO101520008397,"FIT -- tight, loose, rocks, etc., etc., ...",POOR,POST CAM
3/9/2020 12:41:44,ABEVELL,SARA101520008813,BROKEN / CHIPPED / CRACKED,DURING GREENSTATE,IN CAM
3/9/2020 13:25:57,DLOPEZ,ROLO101520008618,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/9/2020 13:28:05,ABEVELL,SARA101520008478,CONTOUR / OCCLUSION,TOO THIN AT GREERNSTATE,POST CAM
3/9/2020 14:34:50,ABEVELL,ROLO101520008781,"FIT -- tight, loose, rocks, etc., etc., ...",TOO TIGHT,POST CAM
3/9/2020 17:21:25,DLOPEZ,ROLO101520008687,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/9/2020 18:31:47,DLOPEZ,SARA101520008761,BROKEN / CHIPPED / CRACKED,BROKE DURING GREENSTATE,IN CAM
3/9/2020 18:36:59,DLOPEZ,ROLO101520008363,"FIT -- tight, loose, rocks, etc., etc., ...",POOR,POST CAM
3/9/2020 19:24:16,DLEE,ROLO101520008942,OTHER,LAYER DEFECT ON LOWER TRAY,IN CAM
3/9/2020 21:52:59,DLEE,ROLO101520008714,Redesign / Design related,DESIGN DIDN T FOLLOW RX,POST CAM
3/10/2020 5:42:30,abevell,ROLO101520008781,"FIT -- tight, loose, rocks, etc., etc., ...",tight buccal margin short,POST CAM
3/10/2020 5:52:16,abevell,ROLO101520008870ROLO101520009064,MILLING / NESTING ERROR,broke during milling,IN CAM
3/10/2020 10:21:31,TSCHAFFER,SARA101520008950,OTHER,#3 CHANGE SIZE PER RX,POST CAM
3/10/2020 11:21:51,abevell,SARA101520008764,MARGIN ISSUE,GERARD,POST CAM
3/10/2020 15:39:21,DLEE,SARA101520009200,MILLING / NESTING ERROR,CROWN DROPPED,IN CAM
3/10/2020 18:27:56,DLEE,SARA101520008501,BROKEN / CHIPPED / CRACKED,PUCK BROKE LOST TWO CROWNS,IN CAM
3/10/2020 18:58:25,dlopez,SARA101520008927,BROKEN / CHIPPED / CRACKED,dropped,POST CAM
3/11/2020 6:41:38,ABEVELL,EMI101520008045,CONTOUR / OCCLUSION,METAL OCCLUSAL?,POST CAM
3/11/2020 9:01:36,ABEVELL,ROLO101520009095,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE,POST CAM
3/11/2020 10:36:41,ABEVELL,SARA101520009367,MILLING / NESTING ERROR,BROKE,IN CAM
3/11/2020 16:53:33,DLOPEZ,ROLO101520008994,"FIT -- tight, loose, rocks, etc., etc., ...",TIGHT,POST CAM
3/11/2020 17:36:26,JSMOLEN,ROLO101520008865,"FIT -- tight, loose, rocks, etc., etc., ...",TIGHT/POOR,POST CAM
3/12/2020 7:42:59,ABEVELL,SARA101520008645,MARGIN ISSUE,INSERTION PATH,POST CAM
3/12/2020 8:43:23,150,ROLO101520009288,OTHER,Remake of model for trouble shooting purposes,POST CAM
3/12/2020 8:52:03,ABEVELL,ROLO101520009254,LOST / MISSING,#8,IN CAM
3/12/2020 8:57:24,ABEVELL,SARA101520007941,BROKEN / CHIPPED / CRACKED,BROKE,IN CAM
3/12/2020 11:49:07,ABEVELL,EMI101520009061,BROKEN / CHIPPED / CRACKED,#8,POST CAM
3/12/2020 14:31:00,DLOPEZ,SARA101520009706,BROKEN / CHIPPED / CRACKED,BROKE DURING GREENSTATE,IN CAM
3/12/2020 16:36:38,DLOPEZ,ROLO101520009409,"FIT -- tight, loose, rocks, etc., etc., ...",TIGHT,POST CAM
3/12/2020 17:02:28,DLOPEZ,SARA101520009362,MARGIN ISSUE,SHORT,POST CAM
3/12/2020 17:49:41,DLEE,ROLO101520009638,SHADE / MATERIAL INCORRECT or CHANGED,DR CHANGED SHADE,POST CAM
3/12/2020 17:50:03,DLEE,ROLO101520009214,BROKEN / CHIPPED / CRACKED,CHIPPED,POST CAM
3/12/2020 18:27:08,DLOPEZ,SARA101520009616,BROKEN / CHIPPED / CRACKED,BROKE,IN CAM
3/12/2020 18:35:21,DLOPEZ,SARA101520009534,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/12/2020 19:18:07,DLOPEZ,ROLO101520007115,MARGIN ISSUE,CHIPPED,POST CAM
3/12/2020 19:38:25,DLOPEZ,ROLO101520009395,BROKEN / CHIPPED / CRACKED,CHIPPED,POST CAM
3/12/2020 21:07:03,DLOPEZ,ROLO101520009090,BROKEN / CHIPPED / CRACKED,GREENSTATWE,IN CAM
3/13/2020 6:42:10,ABEVELL,SARA101520009403,BROKEN / CHIPPED / CRACKED,IN GREENSTATE,IN CAM
3/13/2020 11:54:42,ABEVELL,SARA101520009752SARA101520009817SARA101520009734SARA101520009808SARA101520009843SARA101520009867SARA101520009822,MILLING / NESTING ERROR,PUCK PLACEMENT ERROR,IN CAM
3/13/2020 13:16:06,ABEVELL,ROLO101520009505,MILLING / NESTING ERROR,#14 FELL OUT DURING MILLING,IN CAM
3/13/2020 13:16:33,ABEVELL,ROLO101520007450,BROKEN / CHIPPED / CRACKED,BROKE AT GREENSTATE,IN CAM
3/13/2020 13:24:41,ABEVELL,ROLO101520009625,BROKEN / CHIPPED / CRACKED,CRACKED ON BUCCCAL SURFACE,POST CAM
3/13/2020 14:08:21,ABEVELL,ROLO101520004798,OTHER,#11 HOLE REDESIGN,IN CAM
3/13/2020 14:08:55,ABEVELL,ROLO101520009336,MARGIN ISSUE,CHIPPED MARGIN,POST CAM
3/13/2020 15:13:50,dlopez,ROLO101520004798,OTHER,#11 HOLE TO LARGE,POST CAM
3/13/2020 15:14:11,DLOPEZ,ROLO101520009336,MARGIN ISSUE,CHIPPED,IN CAM
3/13/2020 16:20:36,DLOPEZ,SARA101520008774,"FIT -- tight, loose, rocks, etc., etc., ...",TIGHT,POST CAM
3/13/2020 16:49:45,DLOPEZ,ROLO101520008139,"FIT -- tight, loose, rocks, etc., etc., ...",POOR,POST CAM
3/13/2020 17:05:43,DLOPEZ,ROLO101520009542,Redesign / Design related,REDO MODEL,POST CAM
3/13/2020 19:09:37,DLEE,ROLO101520009403,LOST / MISSING,NOTHING TO MATCH WHEN OVEN CAME DOWN,IN CAM
3/13/2020 19:10:02,DLEE,ROLO101520009090,BROKEN / CHIPPED / CRACKED,BROKEN @GREENSTATE,IN CAM
3/13/2020 19:30:01,DLOPEZ,ROLO101520009336,BROKEN / CHIPPED / CRACKED,GREENSTATE,IN CAM
3/13/2020 19:47:30,DLEE,ROLO101520009740,BROKEN / CHIPPED / CRACKED,CHIPPED WHILE MATCHING,IN CAM
3/13/2020 20:02:32,DLOPEZ,SARA101520008652,CONTOUR / OCCLUSION,OCCLUSION TO HIGH,POST CAM
3/13/2020 20:03:03,DLOPEZ,SARA101520008654,Redesign / Design related,NEEDED TO BE REDESIGN OCCLUSION TO HIGH,POST CAM
3/16/2020 7:38:38,TSCHAFFER,SARA101520009474,MARGIN ISSUE,CHIPPED,POST CAM
3/16/2020 7:39:15,TSCHAFFER,SARA101520009755,MARGIN ISSUE,OPEN BUCCAL,POST CAM
3/16/2020 7:39:58,TSCHAFFER,SARA101520009935,LOST / MISSING,MISSING AT MATCHING,IN CAM
3/16/2020 7:40:37,TSCHAFFER,SARA101520009564,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE,POST CAM
3/16/2020 8:01:55,ABEVELL,ROLO101520009817,BROKEN / CHIPPED / CRACKED,CHIPPED ON MARGIN,POST CAM
3/16/2020 8:16:10,ABEVELL,ROLO101520010059,LOST / MISSING,MISSING,IN CAM
3/16/2020 10:09:27,ABEVELL,ROLO101520009087,LOST / MISSING,MISSING,IN CAM
3/16/2020 12:22:21,ABEVELL,SARA101520009760,BROKEN / CHIPPED / CRACKED,LARGE CHIP AT MARGIN,POST CAM
3/16/2020 12:22:56,ABEVELL,SARA101520009474,OTHER,GREENSTATE ERROR,IN CAM
3/16/2020 12:37:40,ABEVELL,ROLO101520009736,MARGIN ISSUE,TOO SHORT,POST CAM
3/16/2020 12:59:17,abevell,EMI101520009566,MILLING / NESTING ERROR,nested to close to existing cavity,IN CAM
3/16/2020 15:17:33,dlopez,ROLO101520008934,Redesign / Design related,complete redesign,POST CAM
